id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
10055566,14039812990002411000000000U9,CENTRO DE CURACIONES,,812990,Otros servicios personales,0 a 5 personas,CALLE,MIGUEL TOPETE,CALLE,ENRIQUE OSORNIO,CALLE,FRANCISCO OSORNIO,CALLE,RICARDO PALACIOS,4138.0,B,,,,,COLONIA,EL CARMEN,,,,44980.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,5417,11,3331838356.0,,,Fijo,20.62375012,-103.38465719,2024-11
10077430,14120812990001531000000000U3,CENTRO ESOTERICO LA LUZ,,812990,Otros servicios personales,0 a 5 personas,CALLE,HIDALGO,CALLE,ALDAMA,PRIVADA,ZARAGOZA,PRIVADA,ALLENDE,475.0,C,,,0.0,,COLONIA,LINDA VISTA,,,,46169.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,0392,30,3336245859.0,,,Fijo,20.72239559,-103.3957936,2024-11
7040238,14039812990001761000000000U8,CENTRO ESOTERICO SIN NOMBRE,,812990,Otros servicios personales,0 a 5 personas,CALLE,MIGUEL OROZCO CAMACHO,CALLE,LUIS COVARRUBIAS,AVENIDA,PATRIA,CALLE,OTHON BLANCO CACERES,3947.0,,,,0.0,,COLONIA,LOPEZ PORTILLO,,,,44960.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,539A,19,,,,Fijo,20.62426127,-103.37830337,2019-11
10509582,14120812990001331000000000U8,CENTRO ORIENTACION NATURISTA,,812990,Otros servicios personales,0 a 5 personas,CALLE,MORELOS,CALLE,GRANADITOS,CALLE,EMILIANO ZAPATA,CALLE,GRANADITOS,17.0,,,,,,COLONIA,EMILIANO ZAPATA,,,,45190.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,0369,24,,,,Fijo,20.71874943,-103.3514427,2024-11
11145219,14039812990002281000000000U6,CENTRO SATHYA SAI GUADALAJARA,CENTRO SATHYA SAI GUADALAJARA AR,812990,Otros servicios personales,0 a 5 personas,CALLE,FRANCISCO I MADERO,CALLE,ENRIQUE GONZALEZ MARTINEZ,AVENIDA,8 DE JULIO,CALLE,PRISCILIANO SANCHEZ,517.0,,,,,,COLONIA,CENTRO,,,,44100.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,4550,11,,,,Fijo,20.67342734,-103.3517407,2024-11
9885051,14039812990002151000000000U1,CHAMAN DAVID,,812990,Otros servicios personales,0 a 5 personas,CALLE,IGNACIO RAMIREZ,CALLE,HERRERA Y CAIRO,CALLE,MANUEL ACUÑA,CALLE,GENERAL CORONADO,461.0,,,,,,COLONIA,SANTA TERESITA,,,,44600.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1096,24,,,,Fijo,20.68345273,-103.36374547,2024-11
10156309,14039812990002271000000000U7,CHARLY S HOUSE,,812990,Otros servicios personales,0 a 5 personas,CALLE,SAN ANDRES,CALLE,AGUSTIN BANCALARI,CALLE,MANUEL MARTINEZ VALADEZ,CALLE,GIGANTES,2551.0,,,,0.0,,COLONIA,OLIMPICA,,,,44810.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2056,8,,,,Fijo,20.66182209,-103.30320523,2024-11
1671962,14039812990001021001000000U7,CLINICA VETERINARIA DEL FRESNO,,812990,Otros servicios personales,0 a 5 personas,CALLE,MEMBRILLO,CALLE,LIMON,CALLE,GUAMUCHIL,CALLE,CIPRES,2148.0,,,,0.0,,COLONIA,EL FRESNO,,,,44909.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2357,18,3318177047.0,CLINICAVETERINARIADELFRESNO@HOTMAI.COM,,Fijo,20.6600016,-103.37312675,2014-12
1684564,14039812990001221000000000U3,CLINICA VETERINARIA Y ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,DIONISIO RODRIGUEZ,CALLE,DEMOCRITO,CALLE,IRAN,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,3225.0,,,,0.0,,COLONIA,AGUSTIN YAÑEZ,,,,44750.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1734,20,3312030394.0,,,Fijo,20.66577365,-103.29081055,2010-07
7866332,14098812990000361000000000U4,CROQUETAS YA,,812990,Otros servicios personales,0 a 5 personas,CALLE,RAMON CORONA,CALLE,CAMINO REAL DE COLIMA,CALLE,LOS NARANJOS,CALLE,CAMINO AL ARROYO,649.0,,,,0.0,,COLONIA,SANTA ANITA,,,,45600.0,14,Jalisco,98,San Pedro Tlaquepaque,14,Santa Anita                                                                                                   ,3178,5,3331501948.0,,,Fijo,20.55486446,-103.45425021,2019-11
1635025,14120532291000361010000000U8,D MOREN EVENTOS,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,JESUS,AVENIDA,ACUEDUCTO,CALLE,AZUCENAS,CALLE,SAN MATEO,3297.0,,,,0.0,,COLONIA,SANTA MARGARITA,,,,45140.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,3325,12,3311094437.0,,,Fijo,20.73662119,-103.42405972,2010-07
1696366,14120812990000821011000000U9,DAREROS EVENTOS,,812990,Otros servicios personales,0 a 5 personas,CALLE,OSA MAYOR,CALLE,CRUZ DEL SUR,CALLE,ORION,CALLE,GEMELOS,5091.0,A,,,0.0,,COLONIA,LA CALMA,,,,45070.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,0706,15,3336325737.0,,,Fijo,20.63534386,-103.41998512,2014-12
11341906,14039812990002081000000000U0,DE CATEMACO VERACRUZ,,812990,Otros servicios personales,0 a 5 personas,CALLE,MANUEL ACUÑA,CALLE,BERNARDO DE BALBUENA,AVENIDA,AVENIDA DE LAS AMERICAS,CALLE,JUAN ALVAREZ,1714.0,A,,,,,COLONIA,SANTA TERESITA,,,,44600.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1081,23,,,,Fijo,20.68434242,-103.37275749,2024-11
9162039,14120812990001271000000000U6,DOG CARE,,812990,Otros servicios personales,0 a 5 personas,CALLE,QUETZALCOATL,CALLE,AXAYACATL,AVENIDA,MOCTEZUMA,CALLE,NEZAHUALCOYOTL,598.0,,,,0.0,,COLONIA,CIUDAD DEL SOL,,,,45050.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,0655,3,,DOGCARE.118@GMAIL.COM,,Fijo,20.64974952,-103.40518036,2019-11
10336368,14120812990001561000000000U0,DOGGIE BOW,,812990,Otros servicios personales,0 a 5 personas,CALLE,PASEO DE LA LUNA,PRIVADA,ELITE,CALLE,CAMINO REAL DE ZAPOPAN,CALLE,PASEO DE LA LUNA,810.0,,ELITE,PLANTA BAJA,,,MANZANA,PLAZA ELITE,CENTRO Y PLAZA COMERCIAL,ELITE,5,45019.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,6743,42,3319050294.0,OSWALDOMA71EE@GMAIL.COM,,Fijo,20.71905598,-103.46080225,2024-11
11459445,14120812990001471000000000U2,EL GATO MAGICO,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,FEDERALISTAS,ANDADOR,DE LAS GARDENIAS,AVENIDA,ACUEDUCTO,CALLE,VALLE DE LAS GARDENIAS,2266.0,,,,3.0,,COLONIA,JARDINES DEL VALLE,,,,45138.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,3274,5,3318632436.0,,,Fijo,20.74754425,-103.42880404,2024-11
8406045,14039812990001711000000000U3,EL RINCON DE LAS HUELLAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,IGUALDAD,AVENIDA,BELISARIO DOMINGUEZ,CALLE,SANTA CATARINA,CALLE,ESPERANZA,520.0,,,,0.0,,COLONIA,LA ESPERANZA,,,,44300.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,0223,5,3315699557.0,,,Fijo,20.70825024,-103.31452855,2019-11
9724440,14120812990001521000000000U4,ESCUADRON DE SEGURIDAD CANINO,,812990,Otros servicios personales,0 a 5 personas,CALLE,SAN JORGE,CALLE,DALIA,CALLE,VIOLETA,CALLE,OBELISCO,221.0,,,,,,COLONIA,AGRICOLA,,,,45236.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2524,8,3327015318.0,,WWW.ESCUADRONDESEGURIDADCANINO.COM,Fijo,20.61757009,-103.43109946,2024-11
7113216,14120812990000981000000000U1,ESCUELA CANINA AMAROK,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,LAS TORRES,CALLE,LAS ESTRELLAS,CALLE,NUBES DE MARTE,CALLE,LUNA,,SN,,,4.0,,COLONIA,LA GLORIA DEL COLLI,,,,45010.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2863,16,3321062947.0,ADMINISTRACION@AMARAKGDL.MX,WWW.AMAROKGDL.MX,Fijo,20.65892393,-103.45408955,2019-11
9968916,14098812990000431000000000U5,ESTETICA CANIA BAMBINA,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,DEPORTES,CALLE,JUAN DE LA BARRERA,CALLE,CARDENAL,CALLE,JUAN ESCUTIA,9.0,,,,0.0,,COLONIA,EL VERGEL,,,,45595.0,14,Jalisco,98,San Pedro Tlaquepaque,1,Tlaquepaque                                                                                                   ,0671,28,,,,Fijo,20.59906771,-103.33502467,2024-11
11239230,14120812990001451000000000U4,ESTETICA CANICA GENTLEPET,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,VALDEPEÑAS,AVENIDA,TORREMOLINOS,CALLE,PASEO DE LAS CALANDRIAS,CALLE,PASEO CARRILLERAS PONIENTE,2912.0,,,,0.0,,COLONIA,FRANCISCO VILLA,,,,45130.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2204,2,,,,Fijo,20.75081142,-103.39930871,2024-11
10891110,14039812990002441000000000U6,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,COAHUILA,CALLE,MIGUEL GALINDO,CALLE,6 DE DICIEMBRE,CALLE,COAHUILA,1489.0,,,,,A,COLONIA,SAN MIGUEL DE MEZQUITAN,,,,44260.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,4103,24,3334455055.0,,,Fijo,20.70179418,-103.35667155,2024-11
1865636,14039812990000461000000000U6,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,CEREZO,CALLE,FRESNO,CALLE,PINO,CALLE,GUAMUCHIL,1449.0,,,,0.0,,COLONIA,FRESNO,,,,44900.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2357,5,3314112944.0,,,Fijo,20.6580979,-103.37500595,2010-07
7152830,14120541941002821000000000U8,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,SANTA ANITA,CALLE,AGUA ESCONDIDA,CALLE,EL CAMPANARIO,CALLE,SAN ALFONSO,247.0,,,,0.0,,COLONIA,EL CAMPANARIO,,,,45609.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,340A,2,3322061562.0,,,Fijo,20.59389761,-103.43669571,2019-11
11477085,14039812990002291000000000U5,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,14,CALLE,HIGUERILLAS,CALLE,MANUEL PEREZ LETE,CALLE,ARMILLITA,0.0,SN,,,,,COLONIA,IGERLLAS,,,,44440.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2592,13,3325380897.0,,,Fijo,20.63670568,-103.34898335,2024-11
11703220,14120812990001431000000000U6,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,PROLONGACION,MARIANO OTERO,CALLE,FRANCISCO I. MADERO,CALLE,AZALEAS,CALLE,LAUREL,1517.0,,,,,,COLONIA,MARIANO OTERO,,,,45067.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,5209,11,3337197035.0,,,Fijo,20.62929312,-103.45370298,2024-11
9787293,14120812990001321000000000U9,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,PASEO DE LOS PERONES,CALLE,PASEO DE LOS CAMICHINES,CALLE,LECHUGA,CALLE,TOMATE,90.0,A,,,,,COLONIA,MESA DE LOS OCOTES,,,,45189.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2134,24,,,,Fijo,20.76598337,-103.34541518,2024-11
7864879,14039541941003561000000000U1,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,CRUZ DEL SUR,CALLE,BARRA,CALLE,BAHIA,CALLE,ISLOTE,3150.0,B,,,,,COLONIA,SANTA EDUWIGES,,,,44580.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2677,25,,,,Fijo,20.63927381,-103.39221687,2019-11
10883265,14120812990001391000000000U2,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,SIDRA,CALLE,MEZQUITE,PROLONGACION,EL COLLI,CALLE,CHABACANO,1680.0,A,,,0.0,,COLONIA,PARAISOS DEL COLLI,,,,45069.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,1691,33,3318475668.0,,,Fijo,20.64876196,-103.44864134,2024-11
11567596,14039812990002421000000000U8,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,CERRO GORDO,CALLE,MESA CENTRAL,CALLE,MESA DEL NORTE,CALLE,CERRO DE LA CAMPANA,2248.0,A,,,,,COLONIA,BELISARIO DOMINGUEZ,,,,44320.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,0435,22,,,,Fijo,20.7043849,-103.31779763,2024-11
7811029,14039812990001841000000000U8,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,AURELIA GUEVARA,CALLE,RUBEN RODRIGUEZ,CALLE,CANDIDO CARLIN,CALLE,JORGE DEL MORAL,3508.0,,,,,,COLONIA,TETLAN,,,,44828.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,5120,9,3328722130.0,,,Fijo,20.65560102,-103.2891617,2019-11
9910039,14039812990002171000000000U9,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,VOLCAN TANCITARO,CALLE,VOLCAN TOLIMAN,CALLE,VOLCAN VILLARRICA,CALLE,VOLCAN POPOCA,295.0,B,,,0.0,,COLONIA,HUENTITAN,,,,44250.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,3904,29,3312564389.0,,,Fijo,20.73686771,-103.31691919,2024-11
7113743,14120541941002501000000000U6,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,LOURDES,CALLE,INDUSTRIA,CALLE,JUAN MANUEL,CALLE,JUAN DIEGO,57.0,,,,0.0,,COLONIA,TEPEYAC,,,,45150.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,027A,26,,,,Fijo,20.72339221,-103.38298965,2019-11
10823533,14120812990001341000000000U7,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,VALLE DE ATEMAJAC,ANDADOR,DEL EUFRATES,AVENIDA,ACUEDUCTO,CALLE,VALLE DEL EUFRATES,1736.0,,,,,,COLONIA,JARDINES DEL VALLE,,,,45138.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,3274,45,3324596089.0,,,Fijo,20.74082081,-103.426052,2024-11
10298801,14101812990000341000000000U8,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,SAN FRANCISCO,CALLE,HACIENDAS DE JALISCO,CALLE,HACIENDA CIENEGA DE MATA,CALLE,HACIENDA ARROYO DE ENMEDIO,950.0,6,,,0.0,,FRACCIONAMIENTO,HACIENDA REAL,,,,45428.0,14,Jalisco,101,Tonalá,1,Tonalá                                                                                                        ,0679,82,3311154941.0,,,Fijo,20.58732953,-103.23852834,2024-11
11651744,14039812990002461000000000U4,ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,LA RABIDA,CALLE,PARAGUAY,CALLE,BOLIVIA,CALLE,CARABELAS,1557.0,,,,,,COLONIA,CRUZ DEL SUR,,,,44920.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2535,28,3315998809.0,,,Fijo,20.64687881,-103.37080578,2024-11
1698973,14120812990000441000000000U6,ESTETICA CANINA AGAMA,,812990,Otros servicios personales,0 a 5 personas,CALZADA,DE LOS PARAISOS,CALZADA,DE LOS ALAMOS,CALZADA,LAS PALMAS,CALZADA,DE LOS CIPRESES,7282.0,A,,,0.0,,COLONIA,CIUDAD JUDICIAL,,,,45010.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,1206,4,3314123235.0,,,Fijo,20.68201859,-103.45220813,2014-12
1698191,14120812990000671000000000U8,ESTETICA CANINA BEST FRIEND,,812990,Otros servicios personales,0 a 5 personas,CALLE,MARK TWAIN,CALLE,ERNESTO HEMINGWAY,CALLE,JOHN MILTON,CALLE,RUDYARD KIPLING,4852.0,,,,0.0,,COLONIA,JARDINES DE LA PATRIA,,,,45110.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2948,8,,,,Fijo,20.68314113,-103.41776977,2014-12
1803688,14120812990000081000000000U0,ESTETICA CANINA CANEM,,812990,Otros servicios personales,0 a 5 personas,CALLE,VOLCAN COLIMA,CALLE,PLAYA DEL TESORO,AVENIDA,MOCTEZUMA,CALLE,VOLCAN VESUBIO,1430.0,A,,,0.0,,COLONIA,RESIDENCIAL MOCTEZUMA PONIENTE,,,,45050.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,1920,9,,CANEM.MX@GMAIL.COM,,Fijo,20.65059714,-103.43491887,2010-07
